[04:55:03] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[04:55:04] [ServerMain/INFO]: Loaded 7 recipes
[04:55:04] [ServerMain/INFO]: Loaded 1271 advancements
[04:55:05] [Server thread/INFO]: Starting minecraft server version 1.20.1
[04:55:05] [Server thread/INFO]: Loading properties
[04:55:05] [Server thread/INFO]: Default game type: SURVIVAL
[04:55:05] [Server thread/INFO]: Generating keypair
[04:55:05] [Server thread/INFO]: Starting Minecraft server on *:25565
[04:55:05] [Server thread/INFO]: Using epoll channel type
[04:55:05] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[04:55:05] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[04:55:05] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[04:55:05] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[04:55:05] [Server thread/INFO]: Preparing level "world"
[04:55:11] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[04:55:11] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[04:55:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[04:55:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[04:55:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:55:13] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[04:55:13] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[04:55:14] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[04:55:14] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[04:55:15] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[04:55:15] [Worker-Main-1/INFO]: Preparing spawn area: 6%
[04:55:16] [Worker-Main-3/INFO]: Preparing spawn area: 8%
[04:55:16] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[04:55:17] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[04:55:17] [Worker-Main-3/INFO]: Preparing spawn area: 14%
[04:55:18] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[04:55:18] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[04:55:19] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[04:55:19] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[04:55:20] [Worker-Main-3/INFO]: Preparing spawn area: 23%
[04:55:20] [Worker-Main-3/INFO]: Preparing spawn area: 26%
[04:55:21] [Worker-Main-1/INFO]: Preparing spawn area: 28%
[04:55:21] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[04:55:22] [Worker-Main-1/INFO]: Preparing spawn area: 32%
[04:55:22] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[04:55:23] [Worker-Main-1/INFO]: Preparing spawn area: 37%
[04:55:23] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[04:55:24] [Worker-Main-1/INFO]: Preparing spawn area: 43%
[04:55:24] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[04:55:25] [Worker-Main-3/INFO]: Preparing spawn area: 48%
[04:55:25] [Worker-Main-1/INFO]: Preparing spawn area: 51%
[04:55:26] [Worker-Main-1/INFO]: Preparing spawn area: 54%
[04:55:26] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[04:55:27] [Worker-Main-3/INFO]: Preparing spawn area: 60%
[04:55:27] [Worker-Main-1/INFO]: Preparing spawn area: 63%
[04:55:28] [Worker-Main-3/INFO]: Preparing spawn area: 66%
[04:55:28] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[04:55:29] [Worker-Main-3/INFO]: Preparing spawn area: 72%
[04:55:29] [Worker-Main-3/INFO]: Preparing spawn area: 75%
[04:55:30] [Worker-Main-3/INFO]: Preparing spawn area: 78%
[04:55:30] [Worker-Main-3/INFO]: Preparing spawn area: 82%
[04:55:31] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[04:55:31] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[04:55:32] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[04:55:32] [Worker-Main-3/INFO]: Preparing spawn area: 93%
[04:55:33] [Worker-Main-3/INFO]: Preparing spawn area: 97%
[04:55:33] [Server thread/INFO]: Time elapsed: 22281 ms
[04:55:33] [Server thread/INFO]: Done (27.708s)! For help, type "help"
